no GPIO library found
Info: input file: optical-reader-dec23-21-v3a.7ch, type: 7ch, basename: optical-reader-dec23-21-v3a
Info: FileName: optical-reader-dec23-21-v3a.7ch
Info: block_array contains 46 elements
Warning: suspicious WW block length: count=18432(d), actual block length=895(d)
Warning: Writing beyond end of Core address at addr=0o45322, offset=0o44002, core-size=0o4000
Warning: 556 block ran out of words
Warning: WW Block Checksum check failed: calculated xsum=0o012063, tape says:0o011336
Info: Drum Group DA word: w0=0o1
Warning: 556 Decode overwriting core location 0o2000: was 0o157400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2001: was 0o177400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2002: was 0o132000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2003: was 0o131000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2004: was 0o130400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2005: was 0o70, changed to 0o0
Warning: 556 Decode overwriting core location 0o2006: was 0o174000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2007: was 0o160000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2010: was 0o174070, changed to 0o0
Warning: 556 Decode overwriting core location 0o2011: was 0o16, changed to 0o0
Warning: 556 Decode overwriting core location 0o2012: was 0o601, changed to 0o0
Warning: 556 Decode overwriting core location 0o2013: was 0o177400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2014: was 0o600, changed to 0o0
Warning: 556 Decode overwriting core location 0o2015: was 0o330, changed to 0o0
Warning: 556 Decode overwriting core location 0o2016: was 0o147000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2017: was 0o72400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2020: was 0o56400, changed to 0o0
Warning: 556 Decode overwriting core location 0o2021: was 0o101000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2022: was 0o34000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2023: was 0o50750, changed to 0o0
Warning: 556 Decode overwriting core location 0o2024: was 0o100012, changed to 0o0
Warning: 556 Decode overwriting core location 0o2025: was 0o171011, changed to 0o0
Warning: 556 Decode overwriting core location 0o2026: was 0o70751, changed to 0o0
Warning: 556 Decode overwriting core location 0o2027: was 0o74000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2030: was 0o171037, changed to 0o0
Warning: 556 Decode overwriting core location 0o2031: was 0o71012, changed to 0o0
Warning: 556 Decode overwriting core location 0o2032: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2033: was 0o42273, changed to 0o0
Warning: 556 Decode overwriting core location 0o2034: was 0o102425, changed to 0o0
Warning: 556 Decode overwriting core location 0o2035: was 0o44773, changed to 0o0
Warning: 556 Decode overwriting core location 0o2036: was 0o44774, changed to 0o0
Warning: 556 Decode overwriting core location 0o2037: was 0o100003, changed to 0o0
Warning: 556 Decode overwriting core location 0o2040: was 0o112423, changed to 0o0
Warning: 556 Decode overwriting core location 0o2041: was 0o44763, changed to 0o0
Warning: 556 Decode overwriting core location 0o2042: was 0o100000, changed to 0o0
Warning: 556 Decode overwriting core location 0o2043: was 0o42274, changed to 0o0
Warning: 556 Decode overwriting core location 0o2044: was 0o102436, changed to 0o0
