no GPIO library found
Info: input file: short-tape.7ch, type: 7ch, basename: short-tape
Info: FileName: short-tape.7ch
Info: block_array contains 1 elements
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o51, c1=0o75, c2=0o40
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o51, c1=0o75, c2=0o40
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o71, c1=0o51, c2=0o23
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o17, c1=0o25, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o13, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o33
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o5, c1=0o76, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o13, c1=0o25, c2=0o51
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o17, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o23, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o27
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o17, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o27, c1=0o17, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o5, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o76, c1=0o13, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o51, c1=0o33, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o17, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o23, c1=0o25, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o17, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o5
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o51, c2=0o27
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o3
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o13
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o27, c1=0o25, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o5, c2=0o13
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o27, c1=0o7, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o51, c1=0o23, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o3
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o17, c1=0o15, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o66, c1=0o17, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o3, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o5
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o76, c1=0o27, c2=0o7
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o51, c2=0o75
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o32, c1=0o71, c2=0o51
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o23, c1=0o17, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o17, c2=0o17
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o66
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o11, c2=0o45
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o3, c1=0o25, c2=0o15
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o45, c1=0o5, c2=0o13
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o33, c1=0o7, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o51, c1=0o3, c2=0o25
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o15, c1=0o45, c2=0o3
Info: decode_556_word: non-zero LSBs in c0 or c1: c0=0o25, c1=0o15, c2=0o45
Info: Flexo Output File: short-tape.fc
Info: Completed all of tape short-tape
